spec,window,returns,beta_SUE,se_firm,t_firm,t_date,N,within_R2
(0a) no interactions,ANN,C2C,0.07960370141719675,0.0007920109072888828,100.50833982790292,119.50857443748549,301383,0.09044468425509089
(0a) no interactions,DRIFT,C2C,0.019330095000616186,0.00142337255651283,13.580488756909617,13.145147173389791,301383,0.010460021316626378
(0a) no interactions,ANN,O2O,0.0725774868257312,0.0007374996454847886,98.41019893375415,126.8244913069331,299256,0.10041358147850787
(0a) no interactions,DRIFT,O2O,0.029810283121083008,0.0014698235302723773,20.281538910700917,19.493248671103284,297083,0.010743257066990752
(0b) with interactions,ANN,C2C,0.08241154764164477,0.0007986957846246004,103.1826500503937,,301383,0.09645126564170114
(0b) with interactions,DRIFT,C2C,0.015857429776282104,0.001357278126923715,11.683257441290337,,301383,0.01131769996333798
(0b) with interactions,ANN,O2O,0.07607268580004736,0.0007505238057034138,101.35945751747303,,299256,0.10853584336242073
(0b) with interactions,DRIFT,O2O,0.025392135165867327,0.001390768533580494,18.25762846423912,,297083,0.011875605030243541
